,name,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
3403,Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,0.54,0.5,0.0,0.12,1.16
3404,Sonic Rush Adventure,DS,2007.0,Platform,Sega,0.53,0.48,0.01,0.12,1.15
3405,Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15
3406,Gauntlet: Dark Legacy,PS2,2001.0,Action-Adventure,Midway Games,0.56,0.44,0.0,0.15,1.15
3407,Medal of Honor Heroes 2,PSP,2007.0,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15
3408,Bad Boys: Miami Takedown,PS2,2004.0,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15
3409,Wario Land: Shake It!,Wii,2008.0,Platform,Nintendo,0.59,0.31,0.15,0.1,1.15
3410,Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,0.21,1.15
3411,Kaboom!,2600,1980.0,Other,Activision,1.07,0.07,0.0,0.01,1.15
3412,Medal of Honor: Warfighter,X360,2012.0,Action-Adventure,Electronic Arts,0.59,0.45,0.01,0.1,1.15
3413,Qix,GB,1990.0,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15
3414,Derby Stallion III,SNES,1995.0,Sports,ASCII Entertainment,0.0,0.0,1.15,0.0,1.15
3415,Doraemon,NES,1986.0,Action-Adventure,Hudson Soft,0.0,0.0,1.15,0.0,1.15
3416,High School Musical 2: Work This Out!,DS,2008.0,Other,Disney Interactive Studios,0.5,0.52,0.0,0.13,1.15
3417,FIFA Soccer 10,PSP,2009.0,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15
3418,Donkey Konga,GC,2003.0,Other,Nintendo,0.5,0.16,0.46,0.03,1.15
3419,Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15
3420,Dragon Quest I & II,SNES,1993.0,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
3421,Tak and the Power of Juju,PS2,2003.0,Platform,THQ,0.56,0.44,0.0,0.15,1.15
3422,WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15
3423,Asteroids,PS,1998.0,Shooter,Success,0.64,0.43,0.0,0.07,1.15
3424,Puyo Puyo Sun Ketteiban,PS,1997.0,Puzzle,Compile,0.0,0.0,1.07,0.07,1.15
3425,Action Bass,PS,2000.0,Action-Adventure,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14
3426,Tenchu: Wrath of Heaven,PS2,2003.0,Action-Adventure,Activision,0.44,0.34,0.25,0.11,1.14
3427,Shadow of the Colossus,PS2,2005.0,Action-Adventure,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14
3428,Brave Fencer Musashi,PS,1998.0,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14
3429,Ninja Gaiden Sigma,PS3,2007.0,Action-Adventure,Eidos Interactive,0.57,0.32,0.09,0.16,1.14
3430,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14
3431,Pokemon Rumble Blast,3DS,2011.0,Action-Adventure,Nintendo,0.47,0.26,0.35,0.07,1.14
3432,007: Quantum of Solace,PS3,2008.0,Action-Adventure,Activision,0.43,0.51,0.02,0.19,1.14
3433,Dance Dance Revolution Extreme 2,PS2,2005.0,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14
3434,Resident Evil - Code: Veronica,DC,2000.0,Action-Adventure,Eidos Interactive,0.41,0.23,0.47,0.03,1.14
3435,Super R.C. Pro-Am,GB,1991.0,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
3436,South Park,N64,1998.0,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14
3437,Commando,NES,1986.0,Action-Adventure,Capcom,0.71,0.16,0.25,0.03,1.14
3438,Pilotwings,SNES,1990.0,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
3439,The Lord of the Rings: The Return of the King,XB,2003.0,Action-Adventure,Electronic Arts,0.71,0.38,0.0,0.05,1.14
3440,LEGO Star Wars: The Video Game,GBA,2005.0,Action-Adventure,Eidos Interactive,0.82,0.3,0.0,0.02,1.14
3441,Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14
3442,Royal Palace of White Sword and The City of Gentiles,PS2,2005.0,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,0.62,1.14
3443,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action-Adventure,Take-Two Interactive,0.45,0.45,0.06,0.18,1.14
3444,Ratchet & Clank: All 4 One,PS3,2011.0,Platform,Sony Computer Entertainment,0.75,0.21,0.05,0.12,1.14
3445,Sunset Overdrive,XOne,2014.0,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14
3446,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Atari,0.12,0.1,0.88,0.03,1.14
3447,Need for Speed Underground 2,GC,2004.0,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
3448,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14
3449,MechAssault,XB,2002.0,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13
3450,EA Sports Active: More Workouts,Wii,2009.0,Sports,Electronic Arts,0.76,0.27,0.0,0.1,1.13
3451,Derby Stallion 99,PS,1999.0,Sports,ASCII Entertainment,0.0,0.0,1.06,0.07,1.13
3452,Cars,GBA,2006.0,Racing,THQ,0.81,0.3,0.0,0.02,1.13
3453,Watch Dogs 2,PS4,2016.0,Action-Adventure,Ubisoft,0.37,0.58,0.0,0.18,1.13
3454,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action-Adventure,LucasArts,0.61,0.43,0.0,0.09,1.13
3455,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13
3456,Donkey Kong,NES,1983.0,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
3457,Mirror's Edge,PS3,2008.0,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13
3458,Guitar Hero 5,X360,2009.0,Other,Activision,0.65,0.37,0.0,0.11,1.13
3459,Alien: Isolation,PS4,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13
3460,Jampack Winter '98,PS,1998.0,Other,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13
3461,Fantasy Life,3DS,2012.0,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
3462,Pok̩mon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005.0,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13
3463,SingStar,PS3,2007.0,Other,Sony Computer Entertainment,0.45,0.56,0.0,0.12,1.13
3464,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action-Adventure,Nintendo,0.53,0.33,0.17,0.08,1.12
3465,Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
3466,Supercar Street Challenge,PS2,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12
3467,Pilotwings 64,N64,1996.0,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
3468,Rabbids Go Home,Wii,2009.0,Platform,Ubisoft,0.25,0.74,0.0,0.14,1.12
3469,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12
3470,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12
3471,Rocksmith,PS3,2011.0,Other,Ubisoft,0.53,0.36,0.09,0.15,1.12
3472,Call Of Duty 2: Big Red One,XB,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,1.12
3473,Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12
3474,Rocksmith,X360,2011.0,Other,Ubisoft,0.84,0.19,0.01,0.08,1.12
3475,Guitar Hero 5,PS2,2009.0,Other,Activision,0.28,0.3,0.0,0.54,1.12
3476,Worldwide Soccer Manager 2008,PC,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12
3477,Yakuza 3,PS3,2009.0,Action-Adventure,Sega,0.21,0.2,0.62,0.08,1.12
3478,Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.36,0.23,0.38,0.15,1.12
3479,Spider-Man 2,XB,2004.0,Action-Adventure,Activision,0.82,0.26,0.0,0.04,1.12
3480,Crackdown 2,X360,2010.0,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,1.12
3481,The Beatles: Rock Band,PS3,2009.0,Other,MTV Games,0.67,0.29,0.0,0.15,1.12
3482,Dragon Age II,X360,2011.0,Action-Adventure,Electronic Arts,0.72,0.29,0.01,0.09,1.11
3483,Counter-Strike,XB,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11
3484,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007.0,Action-Adventure,Activision,0.63,0.37,0.0,0.11,1.11
3485,Guitar Hero Encore: Rocks The 80s,PS2,2007.0,Other,RedOctane,0.92,0.04,0.0,0.15,1.11
3486,Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11
3487,Rock Band,PS2,Unknown,Other,Electronic Arts,0.71,0.06,0.0,0.35,1.11
3488,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action-Adventure,Ubisoft,0.68,0.38,0.0,0.05,1.11
3489,NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11
3490,Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
3491,Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11
3492,Legend of Mana,PS,1999.0,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11
3493,Pikmin 3,WiiU,2013.0,Other,Nintendo,0.44,0.32,0.29,0.07,1.11
3494,WWE 2K14,X360,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11
3495,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11
3496,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.11
3497,Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1
3498,Jungle Hunt,2600,1982.0,Platform,Atari,1.03,0.06,0.0,0.01,1.1
3499,Castlevania: Lords of Shadow,PS3,2010.0,Action-Adventure,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1
3500,Triple Play 98,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1
3501,Plants vs. Zombies,DS,2011.0,Other,Mastertronic,0.9,0.12,0.0,0.08,1.1
3502,Lode Runner,NES,1984.0,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1
3503,The Final Fantasy Legend,GB,1989.0,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1
3504,Famicom Jump: Eiyuu Retsuden,NES,1989.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1
3505,F-Zero X,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1
3506,Popeye,NES,1983.0,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
3507,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999.0,Other,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1
3508,Omerta: City of Gangsters,PS3,2011.0,Simulation,Konami Digital Entertainment,0.52,0.42,0.0,0.15,1.1
3509,NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1
3510,SingStar Legends,PS2,2006.0,Other,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1
3511,SingStar Rocks!,PS2,2006.0,Other,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1
3512,Tales of Symphonia,GC,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
3513,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1
3514,Need for Speed: ProStreet,Wii,2007.0,Racing,Electronic Arts,0.53,0.45,0.0,0.12,1.1
3515,GRID,PS3,2008.0,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1
3516,Medal of Honor: Airborne,X360,2007.0,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1
3517,Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1
3518,Petz Dogz 2,DS,2007.0,Simulation,Ubisoft,0.46,0.51,0.0,0.12,1.1
3519,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09
3520,Yakuza 2,PS2,2006.0,Action-Adventure,Sega,0.05,0.04,0.84,0.16,1.09
3521,Guitar Hero 5,PS3,2009.0,Other,Activision,0.53,0.39,0.0,0.17,1.09
3522,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09
3523,NERF N-Strike,Wii,2008.0,Shooter,Electronic Arts,0.91,0.09,0.0,0.09,1.09
3524,NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09
3525,BeatMania,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.07,0.02,1.09
3526,Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09
3527,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09
3528,Madden NFL 2004,XB,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09
3529,Sonic and the Black Knight,Wii,2009.0,Platform,Sega,0.64,0.34,0.01,0.1,1.09
3530,The Godfather,PS2,2006.0,Action-Adventure,Electronic Arts,0.89,0.03,0.01,0.15,1.09
3531,Sonic Free Riders,X360,2010.0,Racing,Sega,0.74,0.25,0.0,0.09,1.09
3532,Star Wars: Bounty Hunter,PS2,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09
3533,Densha De Go!,PS,1997.0,Simulation,Taito,0.0,0.0,1.02,0.07,1.09
3534,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.09
3535,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action-Adventure,LucasArts,0.61,0.38,0.0,0.1,1.09
3536,NCAA Football 13,X360,2012.0,Action-Adventure,Electronic Arts,1.02,0.0,0.0,0.07,1.09
3537,Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09
3538,NFL Blitz 2000,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09
3539,NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08
3540,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08
3541,Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.35,0.0,0.1,1.08
3542,Namco Museum Battle Collection,PSP,2005.0,Other,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08
3543,Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,1.08
3544,Empire: Total War,PC,2009.0,Other,Sega,0.01,0.97,0.0,0.1,1.08
3545,Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.51,0.08,0.2,1.08
3546,Dante's Inferno,PS3,2010.0,Action-Adventure,Electronic Arts,0.64,0.28,0.04,0.13,1.08
3547,Toy Story 3: The Video Game,PS3,2010.0,Action-Adventure,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08
3548,Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08
3549,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08
3550,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08
3551,Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08
3552,Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action-Adventure,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08
3553,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08
3554,Star Wars: The Force Unleashed,PSP,2008.0,Action-Adventure,LucasArts,0.43,0.4,0.0,0.24,1.08
3555,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08
3556,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08
3557,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
3558,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08
3559,The Simpsons Game,PSP,2007.0,Action-Adventure,Electronic Arts,0.24,0.54,0.0,0.3,1.07
3560,Doko Demo Issyo,PS,1999.0,Other,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07
3561,LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action-Adventure,LucasArts,0.96,0.03,0.0,0.08,1.07
3562,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07
3563,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07
3564,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07
3565,Prince of Persia,PS3,2008.0,Action-Adventure,Ubisoft,0.47,0.4,0.03,0.17,1.07
3566,Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07
3567,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07
3568,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07
3569,The Biggest Loser,Wii,2009.0,Sports,THQ,0.86,0.12,0.0,0.09,1.07
3570,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07
3571,Tomb Raider: Underworld,X360,2008.0,Action-Adventure,Eidos Interactive,0.53,0.42,0.01,0.11,1.07
3572,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07
3573,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07
3574,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07
3575,Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07
3576,MySims Agents,DS,2009.0,Action-Adventure,Electronic Arts,0.54,0.42,0.0,0.11,1.07
3577,Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
3578,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07
3579,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07
3580,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action-Adventure,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07
3581,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07
3582,Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07
3583,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
3584,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06
3585,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06
3586,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action-Adventure,Take-Two Interactive,0.28,0.49,0.03,0.27,1.06
3587,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06
3588,The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,1.06
3589,Simple 1500 Series Vol. 1: The Mahjong,PS,1998.0,Other,D3Publisher,0.0,0.0,0.99,0.07,1.06
3590,DJ Hero,X360,2009.0,Other,Activision,0.56,0.39,0.0,0.11,1.06
3591,Bully: Scholarship Edition,X360,2008.0,Action-Adventure,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06
3592,NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06
3593,Worms Armageddon,PS,1999.0,Other,Microprose,0.18,0.81,0.0,0.08,1.06
3594,Hulk,PS2,2003.0,Action-Adventure,Universal Interactive,0.52,0.41,0.0,0.14,1.06
3595,Overwatch,XOne,2016.0,Shooter,Activision,0.63,0.33,0.0,0.1,1.06
3596,NFL Quarterback Club 98,N64,1997.0,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06
3597,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06
3598,Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06
3599,Skylanders Giants,PS3,2012.0,Action-Adventure,Activision,0.36,0.49,0.0,0.2,1.06
3600,Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06
3601,Endless Ocean,Wii,2007.0,Action-Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06
3602,Spider-Man 2,GBA,2004.0,Action-Adventure,Activision,0.76,0.28,0.0,0.02,1.06
3603,Seek and Destroy,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06
3604,Darksiders,X360,2010.0,Action-Adventure,THQ,0.67,0.28,0.01,0.1,1.06
3605,Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06
3606,LEGO Marvel Super Heroes,XOne,2013.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.06
3607,Warhawk,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06
3608,DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06
3609,Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.05
3610,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05
3611,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,1.05
3612,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
3613,Resident Evil: The Darkside Chronicles,Wii,2009.0,Action-Adventure,Capcom,0.46,0.31,0.2,0.09,1.05
3614,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05
3615,Defender,2600,1980.0,Other,Atari,0.99,0.05,0.0,0.01,1.05
3616,Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05
3617,Arc the Lad II,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05
3618,Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
3619,Derby Stallion 96,SNES,1996.0,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05
3620,Adventure Island,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
3621,NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05
3622,LEGO The Lord of the Rings,PS3,2012.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05
3623,The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05
3624,Dave Mirra Freestyle BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05
3625,EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05
3626,Forza Motorsport,XB,2005.0,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05
3627,Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.58,0.03,0.21,1.05
3628,Monster Rancher 2,PS,1998.0,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05
3629,MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
3630,Imagine: Animal Doctor,DS,2007.0,Simulation,Ubisoft,0.45,0.48,0.0,0.11,1.04
3631,Legacy of Kain: Soul Reaver,PS,Unknown,Action-Adventure,Eidos Interactive,0.58,0.4,0.0,0.07,1.04
3632,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,1.04
3633,Tales of Destiny,PS,1997.0,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04
3634,Sleeping Dogs,PS3,2012.0,Action-Adventure,Square Enix,0.31,0.49,0.05,0.19,1.04
3635,ATV: Quad Power Racing,PS,2000.0,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04
3636,Mega Man X4,PS,1996.0,Action-Adventure,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
3637,Naruto: Clash of Ninja 2,GC,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
3638,Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04
3639,Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,1.04
3640,Bomberman 64,N64,1997.0,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
3641,Jeremy McGrath Supercross 98,PS,1998.0,Racing,Acclaim Entertainment,0.91,0.1,0.0,0.03,1.04
3642,F-Zero: Maximum Velocity,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
3643,Sonic the Hedgehog,X360,2006.0,Platform,Sega,0.44,0.48,0.0,0.11,1.04
3644,Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.43,0.5,0.0,0.11,1.04
3645,Need for Speed: Most Wanted,XB,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04
3646,The Simpsons Game,X360,2007.0,Action-Adventure,Electronic Arts,0.54,0.39,0.0,0.11,1.03
3647,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03
3648,Brink,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.03
3649,MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03
