,name,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
119,Guitar Hero Live,PS4,2015.0,Music,Activision,0.52,0.49,0.0,0.2,1.21
120,Metal Gear Solid: Ground Zeroes,PS4,2014.0,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2
121,Mad Max (2013),PS4,2015.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2
122,Shadow of the Colossus,PS4,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2
123,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,2017.0,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2
124,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
125,LEGO Dimensions,PS4,2015.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18
126,LEGO Jurassic World,PS4,2015.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
127,WWE 2K15,PS4,2014.0,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16
128,MLB The Show 17,PS4,2017.0,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16
129,LEGO Worlds,PS4,2017.0,Other,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
130,The Elder Scrolls V: Skyrim PSVR,PS4,2017.0,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
131,LEGO Marvel Super Heroes 2,PS4,2017.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11
132,EA Sports UFC,PS4,2014.0,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
133,Final Fantasy XII: The Zodiac Age,PS4,2017.0,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1
134,Alien: Isolation,PS4,2014.0,Action-Adventure,Sega,0.29,0.59,0.05,0.16,1.09
135,MLB The Show 18,PS4,2018.0,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06
136,The Evil Within II,PS4,2017.0,Action-Adventure,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
137,Prey (2017),PS4,2017.0,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
138,Final Fantasy Type-0,PS4,2015.0,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04
139,Ni-Oh,PS4,2017.0,Action-Adventure,Tecmo Koei,0.34,0.36,0.2,0.14,1.03
140,MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01
141,Steep,PS4,2016.0,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
142,LEGO Marvel's Avengers,PS4,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
143,Evolve,PS4,2015.0,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
144,Injustice: Gods Among Us,PS4,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98
145,EA Sports UFC 3,PS4,2018.0,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97
146,Madden NFL 25,PS4,2013.0,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96
147,MLB 16: The Show,PS4,2016.0,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96
148,Lego Batman 3: Beyond Gotham,PS4,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94
149,Final Fantasy X/X-2 HD Remaster,PS4,2015.0,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9
150,Ni no Kuni II: Revenant Kingdom,PS4,2018.0,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89
151,God of War III,PS4,2015.0,Action-Adventure,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89
152,Fortnite,PS4,2017.0,Action-Adventure,Gearbox Software,0.42,0.32,0.0,0.15,0.89
153,LEGO Harry Potter Collection,PS4,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88
154,Minecraft: Story Mode,PS4,2015.0,Action-Adventure,Mojang,0.31,0.42,0.0,0.14,0.87
155,BioShock The Collection,PS4,2016.0,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
156,Thief 4,PS4,2014.0,Action-Adventure,Square Enix,0.28,0.41,0.03,0.13,0.85
157,Until Dawn: Rush of Blood,PS4,2016.0,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85
158,Disney Infinity 3.0,PS4,2015.0,Action-Adventure,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85
